MATNR;COMNR
100749;177587
43485;163704
85826;134071
134011;70837
87936;55217
119934;135072
119381;161133
106613;69737
146318;186912
76103;40176
75974;196246
126423;159151
79696;85421
135755;5174
92881;158539
9168;124984
107738;198837
77506;57496
105000;110838
14893;24758
115609;26710
130977;20572
27386;96706
6026;168486
95933;148238
127841;14033
112707;100021
14235;79128
66336;41030
83084;63019
130678;32292
102373;46338
110107;165348
105482;56339
79165;106853
125080;37814
112686;43413
35046;130696
66189;175382
109569;179868
124658;170461
99176;22783
24421;70970
25653;157631
112476;91261
84359;134424
87714;97984
73955;192607
58898;89662
12950;11931
85305;176732
24477;134374
106164;68420
102432;123490
98244;161039
61681;17000
41460;42688
60527;76004
29935;195520
107352;65240
49842;59017
43978;130299
123697;52700
78502;58015
22322;131083
135653;5252
46997;154204
64523;24949
18165;198114
68406;68087
43545;21115
44247;39305
68656;92256
14644;20015
140684;109965
139829;134760
107444;47582
139429;76042
39558;84716
29768;88441
34714;25139
133355;96165
139519;113486
142452;43376
97722;158524
126566;182858
129901;133461
110809;194861
73962;97289
32730;98828
113689;43114
67130;24786
29989;146185
98801;72279
28488;45582
114020;121919
36711;21305
127021;33727
133280;142270
40584;150962
26435;140947
53572;179567
9190;50067
126432;83232
67606;56695
65430;34426
19868;25523
50583;195597
10794;195845
149110;84989
106988;154410
84824;192011
85365;49576
76366;132943
56975;153668
147594;93154
76828;196212
64470;158365
132741;49990
131218;162877
84420;69088
77619;176224
96984;132923
126440;139690
106921;18641
135232;67596
57749;149774
149622;54636
8114;173502
144685;159099
132583;185845
124589;105633
95166;167578
13417;42929
107159;88588
53074;64944
112980;73195
24573;25153
16061;121277
127660;56056
106931;99959
56167;7902
114185;193738
136479;182622
102225;8143
135287;98692
16489;83682
12682;132465
93092;141939
63641;108902
13466;154588
72355;187536
39803;21149
112569;29969
18154;99511
6647;25551
125983;123621
65377;73115
58917;171132
39582;72068
92019;62779
10471;112739
20393;78944
149736;18313
61225;94138
90295;184133
43801;132560
117943;187930
122758;83765
91232;52888
113849;92740
44300;9435
47806;171710
109075;54521
35540;105518
77057;114341
109472;137222
31015;33642
148713;45287
146771;149045
5406;72930
8306;129722
135081;177651
59064;91036
137215;187170
37440;180297
57968;70993
119433;135590
12774;99782
15749;181468
124898;194374
52466;184318
61420;151333
16252;70796
5769;55309
80491;42362
131966;144803
117737;164774
54848;18693
41968;47764
149139;133248
121266;62687
41812;72277
82253;130301
119470;99298
114635;140823
68594;180777
98813;176858
135297;126627
66302;114451
128559;120093
45557;121400
29003;58096
106143;192463
12119;123453
53543;86771
143539;174276
94561;179086
113350;49112
30735;40752
79262;22591
68927;198166
14303;76110
31806;75670
68195;47299
6894;170268
84742;106130
83791;61059
85641;32108
85542;97859
62518;29482
54574;98638
116774;30685
137780;22727
110575;134030
115225;136047
126086;149531
99805;27660
108460;64710
132613;94647
32961;110536
126760;22984
68063;164470
68485;64251
108004;162817
54958;48214
59346;32344
114299;183539
54084;126445
133969;174064
46742;50251
102294;61813
141846;142301
15006;129130
43936;182331
123394;185168
79038;96082
29466;130722
22922;167469
6773;197460
7247;155084
65668;152357
24616;64489
100828;74260
89193;38335
97832;38557
90002;190117
73922;114324
76612;160152
84299;89251
107402;45868
105987;194266
56757;80618
67402;72562
69254;37143
145190;166897
53491;51419
41890;32233
26308;197267
22040;178478
124657;63749
101463;145777
109585;56206
56881;74255
44093;41657
85414;199206
149180;122292
12542;164981
29934;55359
57358;10539
33684;33858
29708;88603
118760;198607
64068;81943
127946;199988
20696;186216
142667;18204
122976;122719
38341;126031
143218;8828
117327;186239
127135;135966
140845;150436
50405;58386
77923;159478
81162;151556
149441;97526
27904;48239
12875;166432
14148;108566
96515;194710
65408;78398
118259;136294
138229;171392
7443;54693
63562;175712
117379;96767
62477;43746
93106;51814
59154;105743
83727;21045
70109;131492
24843;29495
136337;162883
55680;56923
43904;106945
80997;96531
135311;96693
102452;125442
109413;55098
63737;90996
35913;110763
15336;174980
36456;35236
25026;148890
85739;137650
59797;181644
30237;77433
57551;105770
35601;74175
29465;180440
146052;174809
149422;126694
117666;157824
34367;112374
97696;189584
89590;42429
133706;199703
103753;125394
23457;105479
38626;136528
6858;34795
62419;196698
71746;195978
35688;75892
105025;123777
76075;44965
105674;187896
8993;32255
79357;130036
99248;149722
42209;108652
147199;68318
146554;34011
65320;178037
149448;106994
64185;136414
80284;58572
109900;38245
90635;110671
125405;115000
132261;43513
109729;111695
41698;61052
11165;23222
57039;20362
49325;14388
85468;57967
125177;64904
28529;99516
128386;199667
70362;176894
129320;101555
90218;156792
64033;150382
112371;115898
29688;87067
74230;184613
99446;74824
114549;16765
65545;162889
107701;37851
94143;128083
20287;10727
100199;50061
135545;174249
48188;123660
149074;42755
75315;193139
111747;120114
147195;68095
74414;142092
51496;99685
109111;161740
50197;25743
51714;24874
142859;148634
74542;156606
58198;191656
30491;23635
139320;104732
115230;23434
77146;93726
54169;152917
11083;137186
93584;22140
42975;52383
108532;114809
93629;195126
92981;176748
114220;19773
9124;179431
69682;30861
26768;71107
7888;9656
61607;53118
20214;112607
113591;94126
85187;196911
82894;44768
116781;76976
75367;140152
54529;161448
74294;199945
115743;196263
100449;188234
28445;55281
143991;166208
59620;56879
119159;14247
121045;59480
98161;148784
136622;130933
145491;43100
101733;103734
36350;180474
31731;148242
34784;68077
50604;174605
130034;143972
78824;57781
139329;151812
105691;25547
53686;64040
126699;168539
92759;91424
127635;175901
118574;81577
79134;16999
99708;191818
49520;62521
43381;147585
113397;104359
94760;183714
149102;5624
130683;41506
47166;49820
9279;122221
59882;63260
88486;63600
66380;153991
6135;169739
148606;94656
69877;92930
35226;172030
64508;60273
121752;105260
12062;52057
131899;47188
76439;186623
46077;147918
93491;105451
135588;139560
36651;150557
129349;136192
65653;140271
114314;39185
69927;147729
61502;139335
141597;106131
46078;18942
73378;20354
92258;162834
50392;99138
19108;122101
19036;64601
40697;57461
101152;49418
96884;29253
108394;160485
89946;108319
104520;115641
84216;78601
48616;73951
110970;6526
117212;89987
79556;36955
39210;178438
55403;106859
29342;41212
107057;83824
7383;24772
75257;68787
106213;78085
133568;73627
116481;95861
13449;8848
62591;38944
91811;58730
57353;136502
19026;24451
12053;135445
39831;161439
102878;58139
59950;128765
105918;8322
120856;88347
101643;44503
37110;180794
27454;46017
53130;50319
26567;53734
37049;188985
140142;181705
95923;21113
55291;83882
127424;115640
138405;117819
116894;97393
110080;24555
41470;195007
33520;128938
35309;181619
58480;86452
45237;139095
21217;42844
122357;52244
46030;83882
112468;38439
40381;156013
85258;105092
46072;96018
86307;188032
73495;108132
67437;40491
46972;172492
78941;118988
18636;48985
40211;190636
42458;10796
111174;119019
113765;53552
61105;90394
61900;184372
71239;30211
27523;74999
138970;184988
111205;103970
103672;32433
142509;48184
18612;181093
26012;196890
124491;143974
83641;130506
107965;123252
87198;79489
50696;73469
107344;10410
80817;21920
70086;63761
147455;192369
63762;107858
143533;172356
134773;102514
92632;52805
37203;136054
69305;50930
44006;63589
44485;48486
126957;169838
13101;162866
123919;81181
24332;190967
44225;132761
55847;100430
69926;71998
92282;178734
111471;87241
107824;187716
97968;32477
78210;156789
60216;171635
77379;183922
5584;103047
118921;103047
121044;12821
51093;162864
13415;98161
129813;131957
128997;20724
20298;33244
117628;98904
36185;120309
122910;114065
86258;48983
103374;178917
7076;14089
59619;22803
147557;132352
97834;11869
26051;167602
123522;148728
132146;142250
55389;48775
142673;19228
102297;116005
108085;35674
61171;163711
28770;140441
132579;34866
54284;145761
111508;113710
30865;173287
97521;68160
18981;102815
132187;17839
74776;126235
101239;153440
103201;150505
11616;157321
131585;187423
45552;95549
27754;58458
107580;51183
5948;32404
135221;159694
148087;172799
102821;118210
25878;115993
140771;79368
7217;130933
59208;29253
26602;139335
27860;29253
14547;161439
57424;48486
44297;162866
58466;190719
146413;152149
103414;169628
78116;27881
125795;134456
32707;80051
68514;157496
38939;166435
43448;76448
10699;56411
126350;46222
101021;79368
125671;53346
60871;186026
22982;46052
65621;179338
66086;141677
91560;166313
40158;172248
41392;172248
50838;149098
110876;172248
49389;57033
57495;162877
26976;171132
33386;117565
147288;117565
45110;117565
36330;117565
51805;117565
148070;17529
126582;106994
31689;63466
82624;166313
110236;166313
110936;55281
114703;166208
111813;171132
6470;174627
93271;108203
125530;171132
14902;126694
65684;186841
91978;98638
75844;18526
77517;21920
47333;12879
134094;169943
52983;55486
56507;54905
124021;37143
15205;37143
36655;55098
101290;22984
26463;22984
15860;147947
142655;18204
24320;166313
17299;119150
45543;119150
65326;119150
53876;119150
124961;19584
116706;19584
109047;19584
10682;19584
65830;107858
138574;136054
71179;136054
89408;142199
114376;142199
18578;52805
22465;59531
34054;145777
13907;188234
48079;198969
14846;198969
37583;10410
49992;10410
147415;137681
85005;88780
99276;199703
69654;108566
62727;108566
29874;189584
19326;56831
127818;178478
95267;199206
64125;194710
107136;194710
26440;193142
102213;166313
14658;79489
78769;166313
105386;158365
100438;162533
91638;134868
148607;145006
31852;68318
54769;148890
6367;196698
108818;178540
130312;74175
134166;42429
9254;136528
107101;40391
43270;64904
92705;186113
6240;146496
92416;146496
79550;136414
86971;181673
52931;181673
69453;171476
109589;171476
49989;171476
79697;171476
25215;171476
80754;99974
94283;99974
25207;17172
94581;17172
112349;17172
44163;17172
29962;17172
66119;17172
40403;128679
95461;102514
34591;136294
116208;136294
57802;136294
11211;136294
116594;58572
35360;85948
17825;11490
43813;106994
146921;17529
39543;115000
16723;116701
138773;20362
17323;186148
46709;95947
92163;180474
70787;180474
104866;180474
28344;90380
16656;90380
23415;62772
94815;120093
81673;93705
127703;197575
36846;9656
131264;74824
65447;16765
90215;49820
112989;199975
94785;199975
111387;199975
112151;199975
11706;179489
144591;68095
145522;68095
67444;68095
147743;99685
86739;99685
116502;99685
58073;122747
8509;76806
80722;175901
84277;24007
146234;123660
21649;25743
113300;53118
143953;65644
50487;196911
139606;100166
131859;100166
14486;108911
84984;108911
80648;188234
89751;199945
139283;51378
132139;63600
69575;56879
29978;25547
8670;25547
137627;156483
91125;156483
52359;25547
7666;25547
138647;25547
140593;25547
84856;166889
12064;64040
76638;168539
100835;48983
74611;174605
144644;29253
114341;141037
121677;162834
6603;49820
28340;5624
130077;183714
136623;41506
80452;95861
113601;95861
73958;63260
72646;63260
49731;94656
49089;92930
21347;92930
34082;92930
145946;47188
62075;139560
12382;73951
39781;18942
110378;147729
61784;162834
95194;106131
134893;121263
149109;28389
117952;162834
17982;73627
10569;122101
98726;104595
74014;99138
6616;29253
135891;37646
139991;135445
134754;73951
94957;10691
98681;6422
51916;73951
22759;180794
135027;180794
130744;169838
13183;6526
48845;135445
7505;68787
26528;24772
122030;178438
125977;78085
55319;38944
141436;162866
48077;73627
50319;73627
88350;24451
20876;181464
31812;8848
124848;8848
50292;135445
32158;161439
60781;58139
90727;128765
68577;44503
129134;50319
136440;50319
23659;188985
38974;10691
128660;123252
128638;172356
138164;172356
17789;175891
65643;75644
73392;172408
132837;12821
138877;98161
37448;185538
87655;165044
94250;20724
99366;20724
61682;123777
29151;79769
130239;98904
41993;120309
20211;114065
145191;114065
41450;48983
46428;91505
126731;137449
9790;82049
118475;18942
88336;30901
106003;178917
70538;122669
138680;32675
101985;14089
105676;14089
148690;102865
132900;22803
86978;26168
68139;6831
71920;132352
123759;54750
80791;152929
123210;24772
77859;141213
44622;141677
118687;33899
147996;33899
67664;117792
87512;117792
9381;117792
81772;168081
131130;168081
122320;168081
59412;140441
86667;166621
124863;168081
40350;145761
28638;17839
37030;175861
58082;61213
102880;172408
50812;107355
143138;107355
19829;186026
66367;21435
48256;21435
47525;46052
39886;179338
62925;32404
37292;32404
82858;159694
93778;159694
115180;174627
32349;118210
130209;115993
25764;56695
112765;179431
79820;130933
149800;68318
8894;68318
42052;41030
98617;129722
128676;129722
45662;95413
65899;72930
8652;177651
141413;135125
119803;136294
125149;136294
31896;136294
93066;136294
111081;103734
92500;122221
109317;139335
102236;178734
44600;178734
23764;103047
58817;103047
120495;172799
104507;53346
17126;53346
87332;186026
133410;46052
109843;179338
54459;57033
91726;119150
41288;119150
57128;119150
136224;119150
54670;19584
149813;19584
113523;81943
21029;166313
125357;146496
29661;146496
19938;171476
137389;171476
70603;171476
106904;171476
30507;99974
78092;99974
75348;17172
87660;17172
149462;17172
97652;17172
83568;17172
39241;90380
8248;90380
51385;179489
5103;104065
87074;123660
25646;51378
87348;141037
16939;18942
116023;122101
106388;108319
62977;6422
108586;24772
85392;178438
148863;24451
148320;181464
69059;128765
85355;44503
105949;17500
16038;172408
72197;127266
135317;82049
5015;117792
96921;117792
57658;117792
19755;168081
91567;168081
75349;168081
18190;168081
116418;79917
82405;79917
29821;159151
73370;159151
68303;159151
50093;85421
119326;85421
126024;85421
130396;5174
71153;5174
61952;5174
145189;172055
6140;103780
104593;120457
16914;134424
24806;134424
70198;97984
78474;97984
111198;97984
90163;97984
30029;58015
34423;58015
54711;58015
67474;58015
10173;25283
12721;144092
9896;126668
73128;182858
35822;182858
68723;67874
111735;21305
115814;56695
28251;132943
50626;49990
135079;49990
122980;10691
56657;49990
48741;67354
32470;49990
49058;49990
94063;49990
137579;162492
87898;162877
